City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Severo-Yeniseyskiy,IN,2022-04-28 02:37:08,15.5181,73.7626,84.2,89,40,4.61
92,Severo-Yeniseyskiy,MG,2022-04-28 02:37:08,-13.2,49.05,71.13,96,82,2.91
93,Severo-Yeniseyskiy,HK,2022-04-28 02:33:23,22.2855,114.1577,88.97,82,21,11.01
94,Severo-Yeniseyskiy,PG,2022-04-28 02:37:09,-10.6167,150.6667,83.59,76,13,6.69
95,Severo-Yeniseyskiy,PH,2022-04-28 02:37:09,6.6439,122.2736,82.49,82,100,10.45
96,Severo-Yeniseyskiy,KZ,2022-04-28 02:38:09,46.844,74.9804,54.21,47,0,13.42
97,Severo-Yeniseyskiy,ZA,2022-04-28 02:34:11,-33.0117,17.9442,50.05,72,0,11.7
98,Severo-Yeniseyskiy,RU,2022-04-28 02:33:15,69.4865,88.3972,29.21,100,100,6.58
99,Severo-Yeniseyskiy,RU,2022-04-28 02:38:10,73.5069,80.5464,18.88,89,68,23.76
100,Severo-Yeniseyskiy,RU,2022-04-28 02:38:11,60.9058,61.5186,42.66,88,100,4.52
101,Severo-Yeniseyskiy,CA,2022-04-28 02:38:11,50.1001,-91.917,30.27,43,20,0.0
102,Severo-Yeniseyskiy,RU,2022-04-28 02:38:11,63.05,179.3167,31.77,98,100,6.6
103,Severo-Yeniseyskiy,RU,2022-04-28 02:38:12,50.7214,136.6319,35.71,83,43,11.07
104,Severo-Yeniseyskiy,US,2022-04-28 02:34:06,42.8666,-106.3131,57.79,45,75,13.8
105,Severo-Yeniseyskiy,AU,2022-04-28 02:38:13,-42.7826,147.0587,68.92,82,60,1.01
106,Severo-Yeniseyskiy,MY,2022-04-28 02:35:59,5.4112,100.3354,89.53,79,20,3.44
107,Severo-Yeniseyskiy,CL,2022-04-28 02:35:56,-35.3333,-72.4167,50.63,84,35,4.63
108,Severo-Yeniseyskiy,RU,2022-04-28 02:35:18,54.9103,64.4319,62.47,55,100,13.69
109,Severo-Yeniseyskiy,UA,2022-04-28 02:38:14,49.417,31.9201,45.37,78,98,3.15
110,Severo-Yeniseyskiy,KY,2022-04-28 02:38:14,19.2833,-81.25,79.0,79,75,4.61
111,Severo-Yeniseyskiy,MV,2022-04-28 02:38:14,2.9167,73.5667,84.09,73,92,5.57
112,Severo-Yeniseyskiy,IN,2022-04-28 02:38:15,28.1667,94.7667,81.43,50,100,0.65
113,Severo-Yeniseyskiy,MX,2022-04-28 02:38:15,27.9769,-114.0611,60.51,84,0,16.73
114,Severo-Yeniseyskiy,US,2022-04-28 02:38:16,55.3422,-131.6461,46.87,71,75,11.5
115,Severo-Yeniseyskiy,IE,2022-04-28 02:38:16,52.4733,-8.1558,44.06,90,100,2.91
116,Severo-Yeniseyskiy,CV,2022-04-28 02:38:17,14.9215,-23.5087,68.54,77,40,17.27
117,Severo-Yeniseyskiy,BR,2022-04-28 02:38:17,-32.035,-52.0986,62.94,89,97,6.2
118,Severo-Yeniseyskiy,MM,2022-04-28 02:38:17,16.7833,94.7333,94.53,47,75,6.93
119,Severo-Yeniseyskiy,NA,2022-04-28 02:38:18,-18.0607,13.84,67.42,42,49,3.76
120,Severo-Yeniseyskiy,US,2022-04-28 02:38:18,37.4636,-122.4286,57.0,76,75,33.38
121,Severo-Yeniseyskiy,US,2022-04-28 02:38:18,39.5505,-107.3248,65.21,48,0,12.66
122,Severo-Yeniseyskiy,ML,2022-04-28 02:38:19,18.9048,-3.5265,73.33,15,0,6.4
123,Severo-Yeniseyskiy,ES,2022-04-28 02:34:19,41.3888,2.159,60.55,66,20,4.61
